year,city,country,avg_temp,gavg,ma3,ma10,gma3,gma10
1750,Alexandria,United States,54.52,47.70,54.52,54.52,47.70,47.70
1751,Alexandria,United States,55.90,46.36,55.21,55.21,47.03,47.03
1752,Alexandria,United States,41.81,42.40,50.74,50.74,45.49,45.49
1753,Alexandria,United States,53.44,47.10,50.38,51.42,45.29,45.89
1754,Alexandria,United States,54.00,47.25,49.75,51.93,45.58,46.16
1755,Alexandria,United States,48.47,47.05,51.97,51.36,47.13,46.31
1756,Alexandria,United States,54.07,47.93,52.18,51.74,47.41,46.54
1757,Alexandria,United States,52.45,48.24,51.66,51.83,47.74,46.75
1758,Alexandria,United States,50.86,44.13,52.46,51.72,46.77,46.46
1759,Alexandria,United States,52.57,46.38,51.96,51.81,46.25,46.45
1760,Alexandria,United States,50.18,44.94,51.21,51.38,45.15,46.18
1761,Alexandria,United States,54.59,47.79,52.45,51.24,46.37,46.32
1762,Alexandria,United States,53.46,47.50,52.74,52.41,46.74,46.83
1763,Alexandria,United States,49.46,45.50,52.50,52.01,46.93,46.67
1764,Alexandria,United States,53.46,47.12,52.12,51.96,46.71,46.66
1765,Alexandria,United States,52.50,46.85,51.81,52.36,46.49,46.64
1766,Alexandria,United States,54.41,47.14,53.46,52.39,47.04,46.56
1767,Alexandria,United States,51.75,46.80,52.89,52.32,46.93,46.41
1768,Alexandria,United States,51.62,44.20,52.59,52.40,46.05,46.42
1769,Alexandria,United States,52.74,45.84,52.03,52.42,45.61,46.37
1770,Alexandria,United States,52.50,45.84,52.29,52.65,45.30,46.46
1771,Alexandria,United States,54.79,46.13,53.34,52.67,45.94,46.29
1772,Alexandria,United States,53.73,46.74,53.67,52.69,46.24,46.22
1773,Alexandria,United States,54.34,46.80,54.28,53.18,46.56,46.35
1774,Alexandria,United States,53.40,47.79,53.82,53.18,47.11,46.41
1775,Alexandria,United States,54.79,48.52,54.18,53.41,47.70,46.58
1776,Alexandria,United States,52.84,46.94,53.68,53.25,47.75,46.56
1777,Alexandria,United States,52.21,46.87,53.28,53.30,47.44,46.57
1778,Alexandria,United States,48.49,47.37,51.18,52.98,47.06,46.88
1779,Alexandria,United States,37.67,48.16,46.12,51.48,47.47,47.12
1780,Alexandria,United States,32.00,48.97,43.08,51.36,48.17,47.43
1781,Alexandria,United States,53.85,46.58,45.76,51.26,47.91,47.47
1782,Alexandria,United States,52.79,46.22,53.32,51.15,47.26,47.42
1783,Alexandria,United States,52.23,45.82,52.96,50.92,46.21,47.33
1784,Alexandria,United States,51.67,46.15,52.23,50.73,46.06,47.16
1785,Alexandria,United States,51.69,45.25,51.87,50.38,45.74,46.83
1786,Alexandria,United States,52.61,46.87,51.99,50.36,46.09,46.83
1787,Alexandria,United States,52.61,46.45,52.30,50.40,46.19,46.79
1788,Alexandria,United States,53.89,47.21,53.04,51.00,46.84,46.77
1789,Alexandria,United States,53.31,46.99,53.27,52.74,46.89,46.65
1790,Alexandria,United States,53.22,46.36,53.47,52.79,46.86,46.39
1791,Alexandria,United States,53.29,46.81,53.28,52.73,46.72,46.41
1792,Alexandria,United States,52.20,46.56,52.90,52.67,46.58,46.45
1793,Alexandria,United States,53.98,46.81,53.16,52.85,46.73,46.55
1794,Alexandria,United States,53.96,47.35,53.38,53.08,46.91,46.67
1795,Alexandria,United States,53.04,47.03,53.66,53.21,47.07,46.85
1796,Alexandria,United States,52.61,46.89,53.20,53.21,47.09,46.85
1797,Alexandria,United States,52.43,47.32,52.69,53.19,47.08,46.93
1798,Alexandria,United States,54.14,47.61,53.06,53.22,47.27,46.97
1799,Alexandria,United States,53.26,47.32,53.28,53.21,47.41,47.01
1800,Alexandria,United States,53.35,47.26,53.58,53.23,47.40,47.10
1801,Alexandria,United States,54.09,47.46,53.56,53.30,47.35,47.16
1802,Alexandria,United States,54.64,47.44,54.03,53.55,47.39,47.25
1803,Alexandria,United States,54.45,47.30,54.39,53.60,47.40,47.30
1804,Alexandria,United States,53.91,47.91,54.33,53.59,47.55,47.35
1805,Alexandria,United States,54.91,47.41,54.42,53.78,47.54,47.39
1806,Alexandria,United States,53.29,47.17,54.04,53.85,47.50,47.42
1807,Alexandria,United States,52.92,46.90,53.71,53.90,47.16,47.38
1808,Alexandria,United States,53.40,45.73,53.20,53.82,46.60,47.19
1809,Alexandria,United States,52.09,44.74,52.80,53.70,45.79,46.93
1810,Alexandria,United States,52.79,44.46,52.76,53.65,44.98,46.65
1811,Alexandria,United States,52.97,44.35,52.62,53.54,44.52,46.34
1812,Alexandria,United States,50.43,44.69,52.06,53.12,44.50,46.07
1813,Alexandria,United States,52.43,45.93,51.94,52.91,44.99,45.93
1814,Alexandria,United States,52.03,45.66,51.63,52.73,45.43,45.71
1815,Alexandria,United States,51.26,45.03,51.91,52.36,45.54,45.47
1816,Alexandria,United States,50.58,44.49,51.29,52.09,45.06,45.20
1817,Alexandria,United States,50.45,44.56,50.76,51.84,44.70,44.97
1818,Alexandria,United States,51.22,46.09,50.75,51.63,45.05,45.00
1819,Alexandria,United States,52.48,45.27,51.39,51.67,45.31,45.05
1820,Alexandria,United States,52.65,45.72,52.12,51.65,45.69,45.18
1821,Alexandria,United States,51.39,46.56,52.17,51.49,45.85,45.40
1822,Alexandria,United States,54.00,46.74,52.68,51.85,46.34,45.61
1823,Alexandria,United States,52.59,45.90,52.66,51.86,46.40,45.60
1824,Alexandria,United States,53.40,47.39,53.33,52.00,46.68,45.78
1825,Alexandria,United States,54.61,47.10,53.53,52.34,46.80,45.98
1826,Alexandria,United States,54.73,47.05,54.25,52.75,47.18,46.24
1827,Alexandria,United States,54.18,47.86,54.51,53.12,47.34,46.57
1828,Alexandria,United States,56.12,46.71,55.01,53.61,47.20,46.63
1829,Alexandria,United States,52.68,46.29,54.33,53.63,46.95,46.73
1830,Alexandria,United States,55.06,47.34,54.62,53.88,46.78,46.89
1831,Alexandria,United States,51.78,45.75,53.17,53.92,46.46,46.81
1832,Alexandria,United States,53.17,45.41,53.34,53.83,46.17,46.68
1833,Alexandria,United States,53.42,46.42,52.79,53.92,45.86,46.73
1834,Alexandria,United States,53.71,46.67,53.43,53.95,46.17,46.66
1835,Alexandria,United States,52.38,45.30,53.17,53.72,46.13,46.48
1836,Alexandria,United States,50.63,45.86,52.24,53.31,45.94,46.36
1837,Alexandria,United States,52.14,45.28,51.72,53.11,45.48,46.10
1838,Alexandria,United States,52.52,45.52,51.76,52.75,45.55,45.98
1839,Alexandria,United States,53.06,45.73,52.57,52.79,45.51,45.93
1840,Alexandria,United States,53.31,46.04,52.96,52.61,45.76,45.80
1841,Alexandria,United States,52.52,45.84,52.96,52.69,45.87,45.81
1842,Alexandria,United States,53.60,46.44,53.14,52.73,46.11,45.91
1843,Alexandria,United States,51.82,46.71,52.65,52.57,46.33,45.94
1844,Alexandria,United States,53.29,45.77,52.90,52.53,46.30,45.85
1845,Alexandria,United States,53.65,46.13,52.92,52.66,46.20,45.93
1846,Alexandria,United States,54.21,47.39,53.72,53.01,46.43,46.09
1847,Alexandria,United States,52.97,46.56,53.61,53.10,46.69,46.21
1848,Alexandria,United States,53.38,46.36,53.52,53.18,46.77,46.30
1849,Alexandria,United States,52.48,46.36,52.95,53.12,46.43,46.36
1850,Alexandria,United States,53.19,46.22,53.02,53.11,46.32,46.38
1851,Alexandria,United States,53.62,46.72,53.10,53.22,46.44,46.47
1852,Alexandria,United States,52.70,46.58,53.17,53.13,46.51,46.48
1853,Alexandria,United States,54.16,46.47,53.49,53.37,46.59,46.46
1854,Alexandria,United States,54.50,46.78,53.79,53.49,46.61,46.56
1855,Alexandria,United States,53.22,46.60,53.96,53.44,46.62,46.61
1856,Alexandria,United States,51.03,46.40,52.92,53.12,46.59,46.51
1857,Alexandria,United States,51.48,45.97,51.91,52.98,46.32,46.45
1858,Alexandria,United States,53.29,46.58,51.93,52.97,46.32,46.47
1859,Alexandria,United States,53.28,46.85,52.68,53.05,46.47,46.52
